Date,Batch_ID,Product_ID,Reference,Price (EURO),Unity_Price (EURO),Weight_Green_Bean (GRAMS),Weight _Roasted_Bean (GRAMS),Weight_Loss (GRAMS),Weight_Loss_(PCT),Status,Price_Roasted (EURO),Roasted_By
2025-08-10,BT252125,26072,Green coffee (Ethiopia I),0.0436 ,43.6000 ,800,757,43,0.05,ESPRESSO, € 0.0579 ,Ryan
2025-08-10,BT252126,26072,Green coffee (Ethiopia I),0.0436 ,43.6000 ,800,742,58,0.07,ESPRESSO, € 0.0579 ,Ryan
2025-08-10,BT252127,26072,Green coffee (Ethiopia I),0.0436 ,43.6000 ,800,741,59,0.07,ESPRESSO, € 0.0576 ,Ryan
2025-08-10,BT252128,26072,Green coffee (Ethiopia I),0.0436 ,43.6000 ,800,748,52,0.07,ESPRESSO, € 0.0588 ,Ryan
2025-08-10,BT252129,26072,Green coffee (Ethiopia I),0.0436 ,43.6000 ,800,744,56,0.07,ESPRESSO, € 0.0588 ,Ryan
2025-08-10,BT252130,26073,Green coffee (Peru),0.0589 ,58.9000 ,700,757,-57,-0.08,STANDARD, € 0.0583 ,Ryan
2025-08-10,BT252131,26073,Green coffee (Peru),0.0589 ,58.9000 ,700,656,44,0.06,STANDARD, € 0.0585 ,Ryan
2025-08-10,BT252132,26073,Green coffee (Peru),0.0589 ,58.9000 ,700,652,48,0.07,STANDARD, € 0.0792 ,Ryan
2025-08-10,BT252133,26073,Green coffee (Peru),0.0589 ,58.9000 ,700,659,41,0.06,STANDARD, € 0.0792 ,Ryan
2025-08-11,BT252134,26075,Green coffee (Costa rica),0.0499 ,49.9000 ,700,654,46,0.07,STANDARD, € 0.0794 ,Ryan
2025-08-11,BT252135,26075,Green coffee (Costa rica),0.0499 ,49.9000 ,700,657,43,0.06,STANDARD, € 0.0775 ,Ryan
2025-08-11,BT252136,26075,Green coffee (Costa rica),0.0499 ,49.9000 ,700,668,32,0.05,STANDARD, € 0.0777 ,Ryan
2025-08-11,BT252137,26075,Green coffee (Costa rica),0.0499 ,49.9000 ,800,757,43,0.05,STANDARD, € 0.0842 ,Ryan
2025-08-11,BT252138,26077,Green coffee (Ethiopia Hamasho),0.0634 ,63.4000 ,800,744,56,0.07,STANDARD, € 0.0838 ,Ryan
2025-08-11,BT252139,26077,Green coffee (Ethiopia Hamasho),0.0634 ,63.4000 ,600,555,45,0.08,STANDARD, € 0.0854 ,Ryan
2025-08-11,BT252140,26077,Green coffee (Ethiopia Hamasho),0.0634 ,63.4000 ,600,559,41,0.07,STANDARD, € 0.0856 ,Ryan
2025-08-24,BT252141,26072,Green coffee (Ethiopia I),0.0436 ,43.6000 ,800,745,55,0.07,ESPRESSO, € 0.0848 ,Ryan
2025-08-24,BT252142,26072,Green coffee (Ethiopia I),0.0436 ,43.6000 ,800,744,56,0.07,ESPRESSO, € 0.0851 ,Ryan
2025-08-24,BT252143,26072,Green coffee (Ethiopia I),0.0436 ,43.6000 ,850,757,93,0.11,ESPRESSO, € 0.0792 ,Ryan
2025-08-24,BT252144,26072,Green coffee (Ethiopia I),0.0436 ,43.6000 ,850,744,106,0.12,ESPRESSO, € 0.0901 ,Ryan
2025-08-24,BT252145,26072,Green coffee (Ethiopia I),0.0436 ,43.6000 ,850,758,92,0.11,ESPRESSO, € 0.0898 ,Ryan
2025-08-24,BT252146,26072,Green coffee (Ethiopia I),0.0436 ,43.6000 ,850,753,97,0.11,ESPRESSO, € 0.0658 ,Ryan
2025-08-24,BT252147,26075,Green coffee (Costa rica),0.0499 ,49.9000 ,700,654,46,0.07,STANDARD, € 0.0664 ,Ryan
2025-08-25,BT252148,26075,Green coffee (Costa rica),0.0499 ,49.9000 ,700,644,56,0.08,STANDARD, € 0.0843 ,Ryan
2025-08-25,BT252149,26075,Green coffee (Costa rica),0.0499 ,49.9000 ,700,644,56,0.08,STANDARD, € 0.0844 ,Ryan
2025-08-25,BT252150,26073,Green coffee (Peru),0.0589 ,58.9000 ,600,554,46,0.08,STANDARD, € 0.0581 ,Ryan
2025-08-25,BT252151,26073,Green coffee (Peru),0.0589 ,58.9000 ,600,556,44,0.07,STANDARD, € 0.0574 ,Ryan
