Date,Batch_ID,Product_ID,Reference,Price (EURO),Unity_Price (EURO),Weight_Green_Bean (GRAMS),Weight _Roasted_Bean (GRAMS),Weight_Loss (GRAMS),Weight_Loss_(PCT),Status,Price_Roasted (EURO),Roasted_By
2025-12-03,BT252190,26078,Green Coffee (Colombia Geisha),0.06,58.60,500,450,50,0.10,STANDARD,0.06,Ryan
2025-12-03,BT252191,26078,Green Coffee (Colombia Geisha),0.06,58.60,500,460,40,0.08,STANDARD,0.09,Ryan
2025-12-03,BT252192,26078,Green Coffee (Colombia Geisha),0.06,58.60,500,440,60,0.12,STANDARD,0.06,Ryan
2025-12-03,BT252193,26073,Green coffee (Peru),0.06,58.90,500,438,62,0.12,STANDARD,0.06,Ryan
2025-12-03,BT252194,26073,Green coffee (Peru),0.06,58.90,500,436,64,0.13,STANDARD,0.06,Ryan
2025-12-03,BT252195,26073,Green coffee (Peru),0.06,58.90,500,446,54,0.11,STANDARD,0.06,Ryan
2025-12-03,BT252196,26076,Green coffee (Ethiopia Dwancho),0.05,54.50,500,443,57,0.11,STANDARD,0.06,Ryan
2025-12-03,BT252197,26076,Green coffee (Ethiopia Dwancho),0.05,54.50,500,445,55,0.11,STANDARD,0.06,Ryan
2025-12-03,BT252198,26076,Green coffee (Ethiopia Dwancho),0.05,54.50,500,450,50,0.10,STANDARD,0.09,Ryan
2025-11-21,BT252199,26078,Green Coffee (Colombia Geisha),0.06,58.60,500,432,68,0.14,STANDARD,0.06,Ryan
2025-11-21,BT252200,26078,Green Coffee (Colombia Geisha),0.06,58.60,500,438,62,0.12,STANDARD,0.09,Ryan
2025-11-21,BT252201,26078,Green Coffee (Colombia Geisha),0.06,58.60,500,440,60,0.12,STANDARD,0.09,Ryan
2025-11-21,BT252202,26076,Green coffee (Ethiopia Dwancho),0.05,54.50,500,449,51,0.10,STANDARD,0.06,Ryan
2025-11-21,BT252203,26076,Green coffee (Ethiopia Dwancho),0.05,54.50,500,436,64,0.13,STANDARD,0.06,Ryan
2025-11-21,BT252204,26076,Green coffee (Ethiopia Dwancho),0.05,54.50,500,446,54,0.11,STANDARD,0.08,Ryan
2025-11-21,BT252205,26073,Green coffee (Peru),0.06,58.90,500,443,57,0.11,STANDARD,0.06,Ryan
2025-11-21,BT252206,26073,Green coffee (Peru),0.06,58.90,500,445,55,0.11,STANDARD,0.09,Ryan
2025-11-21,BT252207,26073,Green coffee (Peru),0.06,58.90,500,450,50,0.10,STANDARD,0.06,Ryan
