Date,Batch_ID,Product_ID,Reference,Price (EURO),Unity_Price (EURO),Weight_Green_Bean (GRAMS),Weight _Roasted_Bean (GRAMS),Weight_Loss (GRAMS),Weight_Loss_(PCT),Status,Price_Roasted (EURO),Roasted_By
2025-07-01,BT252076,26072,Green coffee (Ethiopia I),0.04,43.60,800,753,47,0.06,ESPRESSO,0.06,Ryan
2025-07-01,BT252077,26072,Green coffee (Ethiopia I),0.04,43.60,800,757,43,0.05,ESPRESSO,0.06,Ryan
2025-07-01,BT252078,26072,Green coffee (Ethiopia I),0.04,43.60,800,742,58,0.07,ESPRESSO,0.06,Ryan
2025-07-01,BT252079,26072,Green coffee (Ethiopia I),0.04,43.60,800,741,59,0.07,STUFF,0.06,Ryan
2025-07-01,BT252080,26072,Green coffee (Ethiopia I),0.04,43.60,800,748,52,0.07,STANDARD,0.06,Ryan
2025-07-01,BT252081,26072,Green coffee (Ethiopia I),0.04,43.60,800,745,55,0.07,STANDARD,0.06,Ryan
2025-07-01,BT252082,26073,Green coffee (Peru),0.06,58.90,800,744,56,0.07,STUFF,0.08,Ryan
2025-07-01,BT252083,26073,Green coffee (Peru),0.06,58.90,800,744,56,0.07,STANDARD,0.08,Ryan
2025-07-01,BT252084,26073,Green coffee (Peru),0.06,58.90,800,742,58,0.07,STANDARD,0.08,Ryan
2025-07-01,BT252085,26073,Green coffee (Peru),0.06,58.90,800,760,40,0.05,ESPRESSO,0.08,Ryan
2025-07-01,BT252086,26073,Green coffee (Peru),0.06,58.90,800,758,42,0.05,ESPRESSO,0.08,Ryan
2025-07-01,BT252087,26077,Green coffee (Ethiopia Hamasho),0.06,63.40,800,753,47,0.06,STANDARD,0.08,Ryan
2025-07-01,BT252088,26077,Green coffee (Ethiopia Hamasho),0.06,63.40,800,757,43,0.05,STUFF,0.08,Ryan
2025-07-01,BT252089,26077,Green coffee (Ethiopia Hamasho),0.06,63.40,800,742,58,0.07,STANDARD,0.09,Ryan
2025-07-09,BT252090,26077,Green coffee (Ethiopia Hamasho),0.06,63.40,800,741,59,0.07,ESPRESSO,0.09,Ryan
2025-07-09,BT252091,26077,Green coffee (Ethiopia Hamasho),0.06,63.40,800,748,52,0.07,ESPRESSO,0.08,Ryan
2025-07-09,BT252092,26077,Green coffee (Ethiopia Hamasho),0.06,63.40,800,745,55,0.07,ESPRESSO,0.09,Ryan
2025-07-09,BT252093,26073,Green coffee (Peru),0.06,58.90,800,744,56,0.07,STANDARD,0.08,Ryan
2025-07-09,BT252094,26073,Green coffee (Peru),0.06,58.90,700,654,46,0.07,STANDARD,0.09,Ryan
2025-07-09,BT252095,26073,Green coffee (Peru),0.06,58.90,700,656,44,0.06,STANDARD,0.09,Ryan
2025-07-09,BT252096,26075,Green coffee (Costa rica),0.05,49.90,800,758,42,0.05,ESPRESSO,0.07,Ryan
2025-07-09,BT252097,26075,Green coffee (Costa rica),0.05,49.90,800,751,49,0.06,ESPRESSO,0.07,Ryan
2025-07-15,BT252098,26077,Green coffee (Ethiopia Hamasho),0.06,63.40,800,752,48,0.06,STANDARD,0.08,Ryan
2025-07-15,BT252099,26077,Green coffee (Ethiopia Hamasho),0.06,63.40,800,751,49,0.06,STANDARD,0.08,Ryan
2025-07-15,BT252100,26072,Green coffee (Ethiopia I),0.04,43.60,800,751,49,0.06,ESPRESSO,0.06,Ryan
2025-07-15,BT252101,26072,Green coffee (Ethiopia I),0.04,43.60,800,760,40,0.05,ESPRESSO,0.06,Ryan
2025-07-15,BT252102,26072,Green coffee (Ethiopia I),0.04,43.60,800,757,43,0.05,ESPRESSO,0.06,Ryan
2025-07-15,BT252103,26072,Green coffee (Ethiopia I),0.04,43.60,800,759,41,0.05,ESPRESSO,0.06,Ryan
2025-07-15,BT252104,26075,Green coffee (Costa rica),0.05,49.90,800,746,54,0.07,STANDARD,0.07,Ryan
2025-07-15,BT252105,26075,Green coffee (Costa rica),0.05,49.90,800,744,56,0.07,STANDARD,0.07,Ryan
2025-07-15,BT252106,26075,Green coffee (Costa rica),0.05,49.90,800,745,55,0.07,STANDARD,0.07,Ryan
2025-07-21,BT252107,26073,Green coffee (Peru),0.06,58.90,700,645,55,0.08,STANDARD,0.09,Ryan
2025-07-21,BT252108,26073,Green coffee (Peru),0.06,58.90,700,657,43,0.06,STUFF,0.09,Ryan
2025-07-21,BT252109,26072,Green coffee (Ethiopia I),0.04,43.60,800,750,50,0.06,STANDARD,0.06,Ryan
2025-07-21,BT252110,26072,Green coffee (Ethiopia I),0.04,43.60,800,750,50,0.06,ESPRESSO,0.06,Ryan
2025-07-21,BT252111,26072,Green coffee (Ethiopia I),0.04,43.60,800,743,57,0.07,ESPRESSO,0.06,Ryan
2025-07-21,BT252112,26072,Green coffee (Ethiopia I),0.04,43.60,400,350,50,0.13,ESPRESSO,0.12,Ryan
2025-07-21,BT252113,26075,Green coffee (Costa rica),0.05,49.90,800,760,40,0.05,STANDARD,0.07,Ryan
2025-07-21,BT252114,26075,Green coffee (Costa rica),0.05,49.90,800,740,60,0.08,STANDARD,0.07,Ryan
2025-07-21,BT252115,26075,Green coffee (Costa rica),0.05,49.90,800,743,57,0.07,STUFF,0.07,Ryan
2025-07-21,BT252116,26077,Green coffee (Ethiopia Hamasho),0.06,63.40,800,743,57,0.07,STUFF,0.09,Ryan
2025-07-21,BT252117,26077,Green coffee (Ethiopia Hamasho),0.06,63.40,800,744,56,0.07,ESPRESSO,0.09,Ryan
2025-07-30,BT252118,26072,Green coffee (Ethiopia I),0.04,43.60,400,345,55,0.14,ESPRESSO,0.13,Ryan
2025-07-30,BT252119,26072,Green coffee (Ethiopia I),0.04,43.60,400,344,56,0.14,ESPRESSO,0.13,Ryan
2025-07-30,BT252120,26072,Green coffee (Ethiopia I),0.04,43.60,400,350,50,0.13,ESPRESSO,0.12,Ryan
2025-07-30,BT252121,26075,Green coffee (Costa rica),0.05,49.90,800,753,47,0.06,STANDARD,0.07,Ryan
2025-07-30,BT252122,26075,Green coffee (Costa rica),0.05,49.90,800,739,61,0.08,STANDARD,0.07,Ryan
2025-07-30,BT252123,26073,Green coffee (Peru),0.06,58.90,700,660,40,0.06,STUFF,0.09,Ryan
2025-07-30,BT252124,26073,Green coffee (Peru),0.06,58.90,700,663,37,0.05,STANDARD,0.09,Ryan
