Date,Batch_ID,Product_ID,Reference,Price (EURO),Unity_Price (EURO),Weight_Green_Bean (GRAMS),Weight _Roasted_Bean (GRAMS),Weight_Loss (GRAMS),Weight_Loss_(PCT),Status,Price_Roasted (EURO),Roasted_By
2025-05-04,BT252001,26072,Green coffee (Ethiopia I),0.04,43.60,800,741,59,0.074,STANDARD,0.06,Ryan
2025-05-04,BT252002,26074,Green coffee (Colombia),0.06,61.20,800,713,87,0.109,STANDARD,0.09,Ryan
2025-05-05,BT252003,26072,Green coffee (Ethiopia I),0.04,43.60,800,716,84,0.105,ESPRESSO,0.06,Ryan
2025-05-05,BT252004,26072,Green coffee (Ethiopia I),0.04,43.60,800,720,80,0.100,STUFF,0.06,Ryan
2025-07-05,BT252005,26072,Green coffee (Ethiopia I),0.04,43.60,800,711,89,0.111,STANDARD,0.06,Ryan
2025-05-07,BT252006,26072,Green coffee (Ethiopia I),0.04,43.60,800,712,88,0.110,ESPRESSO,0.06,Ryan
2025-05-07,BT252007,26072,Green coffee (Ethiopia I),0.04,43.60,800,713,87,0.109,STANDARD,0.06,Ryan
2025-05-09,BT252008,26072,Green coffee (Ethiopia I),0.04,43.60,800,713,87,0.109,STANDARD,0.06,Ryan
2025-05-09,BT252009,26074,Green coffee (Colombia),0.06,61.20,800,719,81,0.101,ESPRESSO,0.09,Ryan
2025-05-12,BT252010,26072,Green coffee (Ethiopia I),0.04,43.60,800,714,86,0.108,STANDARD,0.06,Ryan
2025-05-14,BT252011,26074,Green coffee (Colombia),0.06,61.20,800,710,90,0.113,ESPRESSO,0.09,Ryan
2025-05-14,BT252012,26074,Green coffee (Colombia),0.06,61.20,800,713,87,0.109,STANDARD,0.09,Ryan
2025-05-14,BT252013,26072,Green coffee (Ethiopia I),0.04,43.60,800,711,89,0.111,STANDARD,0.06,Ryan
2025-05-14,BT252014,26072,Green coffee (Ethiopia I),0.04,43.60,800,716,84,0.105,STANDARD,0.06,Ryan
2025-05-16,BT252015,26074,Green coffee (Colombia),0.06,61.20,800,740,60,0.075,STANDARD,0.08,Ryan
2025-05-16,BT252016,26072,Green coffee (Ethiopia I),0.04,43.60,800,718,82,0.103,ESPRESSO,0.06,Ryan
2025-05-19,BT252017,26074,Green coffee (Colombia),0.06,61.20,800,720,80,0.100,STANDARD,0.09,Ryan
2025-05-19,BT252018,26072,Green coffee (Ethiopia I),0.04,43.60,800,721,79,0.099,ESPRESSO,0.06,Ryan
2025-05-21,BT252019,26072,Green coffee (Ethiopia I),0.04,43.60,800,725,75,0.094,STANDARD,0.06,Ryan
2025-05-21,BT252020,26072,Green coffee (Ethiopia I),0.04,43.60,800,725,75,0.094,STANDARD,0.06,Ryan
2025-05-21,BT252021,26074,Green coffee (Colombia),0.06,61.20,800,724,76,0.095,ESPRESSO,0.08,Ryan
2025-05-23,BT252022,26074,Green coffee (Colombia),0.06,61.20,800,725,75,0.094,ESPRESSO,0.08,Ryan
2025-05-23,BT252023,26072,Green coffee (Ethiopia I),0.04,43.60,800,717,83,0.104,STANDARD,0.06,Ryan
2025-05-26,BT252024,26074,Green coffee (Colombia),0.06,61.20,800,710,90,0.113,STANDARD,0.09,Ryan
2025-05-26,BT252025,26072,Green coffee (Ethiopia I),0.04,43.60,800,712,88,0.110,ESPRESSO,0.06,Ryan
2025-06-27,BT252026,26072,Green coffee (Ethiopia I),0.04,43.60,800,712,88,0.110,STUFF,0.06,Ryan
2025-06-27,BT252027,26074,Green coffee (Colombia),0.06,61.20,800,713,87,0.109,STANDARD,0.09,Ryan
2025-06-27,BT252028,26074,Green coffee (Colombia),0.06,61.20,600,560,40,0.067,STANDARD,0.11,Ryan
2025-05-28,BT252029,26072,Green coffee (Ethiopia I),0.04,43.60,800,711,89,0.111,ESPRESSO,0.06,Ryan
2025-05-28,BT252030,26074,Green coffee (Colombia),0.06,61.20,700,639,61,0.087,STANDARD,0.10,Ryan
2025-05-30,BT252031,26072,Green coffee (Ethiopia I),0.04,43.60,800,713,87,0.109,STANDARD,0.06,Ryan
2025-05-30,BT252032,26072,Green coffee (Ethiopia I),0.04,43.60,800,726,74,0.093,STUFF,0.06,Ryan
2025-05-30,BT252033,26074,Green coffee (Colombia),0.06,61.20,700,642,58,0.083,ESPRESSO,0.10,Ryan
