Date,Batch_ID,Product_ID,Reference,Price (EURO),Unity_Price (EURO),Weight_Green_Bean (GRAMS),Weight _Roasted_Bean (GRAMS),Weight_Loss (GRAMS),Weight_Loss_(PCT),Status,Price_Roasted (EURO),Roasted_By
2025-11-03,BT252190,26078,Green Coffee (Colombia Geisha),0.06,58.60,500,451,49,0.10,STANDARD,0.06,Ryan
2025-11-03,BT252191,26078,Green Coffee (Colombia Geisha),0.06,58.60,500,437,63,0.13,STANDARD,0.09,Ryan
2025-11-03,BT252192,26078,Green Coffee (Colombia Geisha),0.06,58.60,500,442,58,0.12,STANDARD,0.06,Ryan
2025-11-03,BT252193,26073,Green coffee (Peru),0.06,58.90,500,443,57,0.11,STANDARD,0.06,Ryan
2025-11-03,BT252194,26073,Green coffee (Peru),0.06,58.90,500,440,60,0.12,STANDARD,0.06,Ryan
2025-11-03,BT252195,26073,Green coffee (Peru),0.06,58.90,500,449,51,0.10,STANDARD,0.06,Ryan
2025-11-03,BT252196,26075,Green coffee (Costa rica),0.05,49.90,500,436,64,0.13,STANDARD,0.06,Ryan
2025-11-03,BT252197,26075,Green coffee (Costa rica),0.05,49.90,500,446,54,0.11,STANDARD,0.06,Ryan
2025-11-03,BT252198,26075,Green coffee (Costa rica),0.05,49.90,500,443,57,0.11,STANDARD,0.09,Ryan
2025-11-24,BT252199,26078,Green Coffee (Colombia Geisha),0.06,58.60,500,445,55,0.11,STANDARD,0.06,Ryan
2025-11-24,BT252200,26078,Green Coffee (Colombia Geisha),0.06,58.60,500,450,50,0.10,STANDARD,0.09,Ryan
2025-11-24,BT252201,26078,Green Coffee (Colombia Geisha),0.06,58.60,500,460,40,0.08,STANDARD,0.09,Ryan
2025-11-24,BT252202,26075,Green coffee (Costa rica),0.05,49.90,500,440,60,0.12,STANDARD,0.06,Ryan
2025-11-24,BT252203,26075,Green coffee (Costa rica),0.05,49.90,500,443,57,0.11,STANDARD,0.06,Ryan
2025-11-24,BT252204,26075,Green coffee (Costa rica),0.05,49.90,500,440,60,0.12,STANDARD,0.08,Ryan
2025-11-24,BT252205,26073,Green coffee (Peru),0.06,58.90,500,440,60,0.12,STANDARD,0.06,Ryan
2025-11-24,BT252206,26073,Green coffee (Peru),0.06,58.90,500,451,49,0.10,STANDARD,0.09,Ryan
2025-11-24,BT252207,26073,Green coffee (Peru),0.06,58.90,500,443,57,0.11,STANDARD,0.06,Ryan
