Date,Batch_ID,Product_ID,Reference,Price (EURO),Unity_Price (EURO),Weight_Green_Bean (GRAMS),Weight _Roasted_Bean (GRAMS),Weight_Loss (GRAMS),Weight_Loss_(PCT),Status,Price_Roasted (EURO),Roasted_By
2025-10-08,BT252180,26073,Green coffee (Peru),0.06,58.90,500,450,50,0.10,STANDARD,0.06,Ryan
2025-10-08,BT252181,26078,Green Coffee (Colombia Geisha),0.06,58.60,500,460,40,0.08,STUFF,0.09,Ryan
2025-10-08,BT252182,26075,Green coffee (Costa rica),0.05,49.90,500,440,60,0.12,STUFF,0.06,Ryan
2025-10-08,BT252183,26078,Green Coffee (Colombia Geisha),0.06,58.60,500,438,62,0.12,STANDARD,0.06,Ryan
2025-10-08,BT252184,26078,Green Coffee (Colombia Geisha),0.06,58.60,500,436,64,0.13,STANDARD,0.06,Ryan
2025-10-08,BT252185,26078,Green Coffee (Colombia Geisha),0.06,58.60,500,446,54,0.11,STANDARD,0.06,Ryan
2025-10-08,BT252186,26073,Green coffee (Peru),0.06,58.90,500,443,57,0.11,STANDARD,0.06,Ryan
2025-10-08,BT252187,26073,Green coffee (Peru),0.06,58.90,500,445,55,0.11,STANDARD,0.06,Ryan
2025-10-22,BT252188,26078,Green Coffee (Colombia Geisha),0.06,58.60,500,450,50,0.10,STANDARD,0.09,Ryan
2025-10-22,BT252189,26078,Green Coffee (Colombia Geisha),0.06,58.60,500,432,68,0.14,STANDARD,0.06,Ryan
2025-10-22,BT252190,26078,Green Coffee (Colombia Geisha),0.06,58.60,500,438,62,0.12,STANDARD,0.09,Ryan
2025-10-22,BT252191,26073,Green coffee (Peru),0.06,58.90,500,439,61,0.12,STANDARD,0.09,Ryan
2025-10-22,BT252192,26073,Green coffee (Peru),0.06,58.90,500,440,60,0.12,STANDARD,0.06,Ryan
2025-10-22,BT252193,26075,Green coffee (Costa rica),0.05,49.90,500,440,60,0.12,STUFF,0.06,Ryan
2025-10-31,BT252194,26078,Green Coffee (Colombia Geisha),0.06,58.60,500,451,49,0.10,STANDARD,0.08,Ryan
2025-10-31,BT252195,26078,Green Coffee (Colombia Geisha),0.06,58.60,500,437,63,0.13,STANDARD,0.06,Ryan
2025-10-31,BT252196,26078,Green Coffee (Colombia Geisha),0.06,58.60,500,442,58,0.12,STANDARD,0.09,Ryan
2025-10-31,BT252197,26073,Green coffee (Peru),0.06,58.90,500,443,57,0.11,STANDARD,0.06,Ryan
2025-10-31,BT252198,26073,Green coffee (Peru),0.06,58.90,500,440,60,0.12,STUFF,0.06,Ryan
2025-10-31,BT252199,26075,Green coffee (Costa rica),0.05,49.90,500,449,51,0.10,STANDARD,0.06,Ryan
