Date,Batch_ID,Product_ID,Reference,Price (EURO),Unity_Price (EURO),Weight_Green_Bean (GRAMS),Weight _Roasted_Bean (GRAMS),Weight_Loss (GRAMS),Weight_Loss_(PCT),Status,Price_Roasted (EURO),Roasted_By
2025-09-07,BT252152,26072,Green coffee (Ethiopia I),0.04,43.60,800,744,56,0.07,ESPRESSO,0.0579 ,Ryan
2025-09-07,BT252153,26072,Green coffee (Ethiopia I),0.04,43.60,800,745,55,0.07,ESPRESSO,0.0576 ,Ryan
2025-09-07,BT252154,26072,Green coffee (Ethiopia I),0.04,43.60,800,758,42,0.05,ESPRESSO,0.0588 ,Ryan
2025-09-07,BT252155,26072,Green coffee (Ethiopia I),0.04,43.60,800,745,55,0.07,ESPRESSO,0.0588 ,Ryan
2025-09-07,BT252156,26072,Green coffee (Ethiopia I),0.04,43.60,800,758,42,0.05,STUFF,0.0583 ,Ryan
2025-09-07,BT252157,26072,Green coffee (Ethiopia I),0.04,43.60,800,753,47,0.06,ESPRESSO,0.0585 ,Ryan
2025-09-07,BT252158,26073,Green coffee (Peru),0.06,58.90,800,745,55,0.07,STANDARD,0.0792 ,Ryan
2025-09-07,BT252159,26073,Green coffee (Peru),0.06,58.90,800,758,42,0.05,STANDARD,0.0792 ,Ryan
2025-09-07,BT252160,26075,Green coffee (Costa rica),0.05,49.90,800,753,47,0.06,STUFF,0.0794 ,Ryan
2025-09-07,BT252161,26075,Green coffee (Costa rica),0.05,49.90,800,757,43,0.05,ESPRESSO,0.0775 ,Ryan
2025-09-07,BT252162,26075,Green coffee (Costa rica),0.05,49.90,800,744,56,0.07,STANDARD,0.0777 ,Ryan
2025-09-10,BT252163,26073,Green coffee (Peru),0.06,58.90,800,753,47,0.06,STANDARD,0.0842 ,Ryan
2025-09-10,BT252164,26073,Green coffee (Peru),0.06,58.90,600,559,41,0.07,STANDARD,0.0838 ,Ryan
2025-09-10,BT252165,26077,Green coffee (Ethiopia Hamasho),0.06,63.40,1000,957,43,0.04,ESPRESSO,0.0854 ,Ryan
2025-09-10,BT252166,26077,Green coffee (Ethiopia Hamasho),0.06,63.40,1000,960,40,0.04,ESPRESSO,0.0856 ,Ryan
2025-09-10,BT252167,26077,Green coffee (Ethiopia Hamasho),0.06,63.40,1000,961,39,0.04,STANDARD,0.0848 ,Ryan
2025-09-10,BT252168,26075,Green coffee (Costa rica),0.05,49.90,800,741,59,0.07,ESPRESSO,0.0851 ,Ryan
2025-09-22,BT252169,26072,Green coffee (Ethiopia I),0.04,43.60,800,748,52,0.07,STANDARD,0.0792 ,Ryan
2025-09-22,BT252170,26072,Green coffee (Ethiopia I),0.04,43.60,800,753,47,0.06,ESPRESSO,0.0901 ,Ryan
2025-09-22,BT252171,26072,Green coffee (Ethiopia I),0.04,43.60,800,757,43,0.05,ESPRESSO,0.0898 ,Ryan
2025-09-22,BT252172,26072,Green coffee (Ethiopia I),0.04,43.60,800,744,56,0.07,ESPRESSO,0.0658 ,Ryan
2025-09-22,BT252173,26072,Green coffee (Ethiopia I),0.04,43.60,800,753,47,0.06,ESPRESSO,0.0664 ,Ryan
2025-09-22,BT252174,26075,Green coffee (Costa rica),0.05,49.90,600,557,43,0.07,STUFF,0.0843 ,Ryan
2025-09-22,BT252175,26075,Green coffee (Costa rica),0.05,49.90,600,558,42,0.07,ESPRESSO,0.0844 ,Ryan
2025-09-22,BT252176,26075,Green coffee (Costa rica),0.05,49.90,600,555,45,0.08,ESPRESSO,0.0581 ,Ryan
2025-09-22,BT252177,26072,Green coffee (Ethiopia I),0.04,43.60,800,753,47,0.06,STANDARD,0.0574 ,Ryan
2025-09-22,BT252178,26072,Green coffee (Ethiopia I),0.04,43.60,800,741,59,0.07,STANDARD,0.0576 ,Ryan
2025-09-22,BT252179,26072,Green coffee (Ethiopia I),0.04,43.60,600,557,43,0.07,ESPRESSO,0.0574 ,Ryan
